티커,종목명,시장,RS,clenow,fip,신규,시총,r3,r6,r9,r12,close,거래대금20
092190,서울바이오시스,KOSDAQ,96,-0.3214250677588338,-0.06666666666666671,False,360066806550,-16.666666666666664,97.48427672955975,204.26356589147287,174.95621716287215,7850,1676368389.0
187660,페니트리움바이오,KOSDAQ,96,-0.3927059648192399,-0.1555555555555555,False,530280237370,36.1247947454844,-53.9674607140874,219.09160892994612,203.77427629168193,8290,14237585318.0
091590,남화토건,KOSDAQ,96,1.9692543830901459,-0.2,False,82180000000,97.1830985915493,94.71488178025034,77.89072426937737,72.83950617283949,7000,9072364836.5
440110,파두,KOSDAQ,96,-0.5424659688502596,0.0222222222222222,False,3432605349500,-32.17821782178218,3.474320241691853,199.78118161925602,299.6499416569428,68500,35268264450.0
270520,앱튼,KOSDAQ,96,19.99684429733684,-0.055555555555555525,False,74108524800,227.19836400817996,57.63546798029557,-15.343915343915349,-70.09345794392523,3200,946005808.25
032820,우리기술,KOSDAQ,95,-0.38609712261760154,-0.08888888888888885,False,2427623798600,-20.034149117814458,-42.53578732106339,247.34239802224968,261.18251928020567,14050,80591463976.5
161890,한국콜마,KOSPI,95,2.7183129311163934,-0.011111111111111127,False,3335397380100,63.54166666666667,97.07112970711297,120.09345794392523,78.63463969658659,141300,52275829700.0
198440,강동씨앤엘,KOSDAQ,95,0.5537835005819713,-0.07777777777777783,False,126433684200,90.36697247706422,96.12476370510396,81.22270742358077,62.36306729264476,2075,10962842679.6
241710,코스메카코리아,KOSDAQ,95,3.722556002089278,0.0222222222222222,False,1342476000000,82.70348837209302,72.66483516483517,86.22222222222223,89.87915407854985,125700,18437692665.0
119850,지엔씨에너지,KOSDAQ,95,3.9836637905575407,0.0,False,832314795400,129.99999999999997,41.34078212290502,45.40229885057472,44.57142857142857,50600,33341464730.0
005930,삼성전자,KOSPI,95,-0.12026799919189814,0.11111111111111105,False,1517109298776000,-19.534883720930228,41.41689373297002,138.29201101928373,244.16445623342176,259500,5256514949350.0
003010,혜인,KOSPI,95,0.6966325306994335,-0.06666666666666671,False,120135459150,87.12871287128714,75.32467532467533,69.05187835420395,64.6341463414634,9450,9534605809.5
192410,오늘이엔엠,KOSDAQ,95,-0.06880828647489227,-0.0222222222222222,False,119003420025,2.2727272727272707,103.2258064516129,213.32891246684352,57.13335550382441,4725,925312034.5
222040,코스맥스엔비티,KOSDAQ,95,0.32062829356134276,-0.07777777777777778,False,154503720000,12.293853073463268,122.58543833580981,132.2480620155039,97.10526315789474,7490,2939216457.0
353200,대덕전자,KOSPI,95,-0.355524376324842,-0.08888888888888885,False,4941692500000,-39.46731234866828,57.97788309636651,110.9704641350211,285.35645472061657,100000,85772159155.0
006110,삼아알미늄,KOSPI,95,-0.08464677449012759,-0.11111111111111105,False,904382609000,0.16750418760469454,76.66174298375185,132.23300970873785,160.0,59800,13809885125.0
446540,메가터치,KOSDAQ,95,-0.0010935083270557575,0.0444444444444444,False,245136905730,2.058111380145289,124.80000000000003,129.07608695652172,108.40543881334983,8430,3984169672.5
